Page,Pageviews,Avg. Time on Page,Entrances,Bounce Rate
/recreation/programs/10479,366,105,56,-91.07
/news/2018/03/29/3435,365,278,175,-84.0
/parks/outdoor-activities,365,65,131,-55.73
/animal-shelter/animals/58110,364,10,1,-0.0
/animal-shelter/animals/59012,364,17,5,-60.0
/parks/parks/bryan-park/trails,362,126,98,-69.39
/animal-shelter/animals/58665,361,8,2,-50.0
/animal-shelter/animals/59564,361,29,12,-50.0
/housing/notices,361,70,12,-41.67
/node/3589,361,179,296,-90.88
/council/meetings/2017,360,146,37,-29.73
/news/2018/02/09/3160,360,35,108,-9.26
/news/2018/03/01/3343,359,40,192,-51.56
/animal-shelter/animals/58645,358,14,0,-0.0
/animal-shelter/animals/59187,358,25,21,-61.9
/animal-shelter/animals/59675,358,27,6,-50.0
/parks/employment/urban-forestry-laborer,358,30,9,-22.22
/animal-shelter/animals/59040,357,31,1,-0.0
/mpo/metropolitan-transportation-plan,357,78,66,-36.36
/animal-shelter/animals/59630,356,28,7,-57.14
/animal-shelter/animals/61358,356,16,0,-0.0
/animal-shelter/animals/61611,356,8,0,-0.0
/departments/utilities/message-from-director,356,43,43,-55.81
/grants/zone-arts,355,84,207,-64.73
/mpo/clearinghouse,355,74,63,-46.03
/parks/employment/community-gardening-program-specialist,355,37,87,-1.15
/recreation/programs/10434,355,227,63,-88.89
/animal-shelter/animals/59517,354,17,7,-57.14
/animal-shelter/animals/59532,354,24,15,-53.33
/parks/employment/ballfield-maintenance-laborer,354,30,19,-26.32
/recreation/programs/10327,354,67,192,-53.12
/animal-shelter/animals/59558,353,16,2,-0.0
/news/2018/02/05/3149,353,63,185,-48.65
/animal-shelter/animals/58678,352,23,13,-0.0
/animal-shelter/animals/58979,352,22,2,-100.0
/animal-shelter/animals/59250,352,10,10,-70.0
/locations/white-oak-cemetery,351,130,190,-62.11
/animal-shelter/animals/58681,350,8,5,-0.0
/animal-shelter/animals/61017,350,13,4,-100.0
/latino/nhhm,350,142,262,-86.26
/animal-shelter/animals/59578,349,13,13,-46.15
/news/2017/02/13/1621,349,163,211,-65.88
/sustainability/development-incentives,349,148,132,-65.91
/animal-shelter/animals/58649,348,33,3,-33.33
/animal-shelter/animals/59138,348,13,3,-66.67
/animal-shelter/animals/60074,348,22,3,-100.0
/about/walking-tours/mcdoel-gardens,347,119,163,-70.55
/animal-shelter/animals/60586,347,11,4,-75.0
/boards/public-works/meetings/2018,347,146,44,-63.64
/departments/hr/jobs/communications-director-office-mayor,347,51,102,-29.41
/animal-shelter/animals/61213,346,12,3,-66.67
/arts/public-art,346,41,89,-37.08
/departments/hr/jobs/parking-garage-customer-servicesecurity-specialist-public-works-department,346,122,33,-69.7
/animal-shelter/animals/59762,345,25,4,-50.0
/animal-shelter/animals/60317,345,17,5,-80.0
/animal-shelter/animals/59052,344,27,12,-58.33
/animal-shelter/animals/59556,344,14,7,-85.71
/sustainability/highlights,343,111,77,-51.95
/animal-shelter/animals/59755,341,18,2,-50.0
/news/2018/03/08/3389,341,79,147,-48.98
/animal-shelter/animals/58778,340,10,2,-50.0
/departments/hr/jobs/assistant-director-utilities-department-transmission-distribution,340,64,14,-78.57
/news/2017/06/29/950,340,107,222,-51.8
/search/node?keys=Dogs,340,16,3,-33.33
/animal-shelter/animals/58845,339,17,1,-0.0
/inclusion,339,53,26,-53.85
/animal-shelter/animals/58309,338,12,5,-0.0
/boards/mpo-policy,338,55,49,-16.33
/index.php/departments/police,338,91,145,-66.21
/node/3497,338,98,27,-77.78
/animal-shelter/animals/59322,337,8,3,-33.33
/animal-shelter/animals/61014,336,26,23,-60.87
/animal-shelter/animals/61773,335,11,2,-50.0
/locations/miller-showers-park,335,118,174,-82.18
/recreation/programs/10375,335,30,28,-10.71
/animal-shelter/animals/61633,334,17,5,-80.0
/transportation/bike/registration,334,81,103,-62.14
/animal-shelter/animals/59732,333,20,3,-66.67
/boards/traffic,333,69,110,-33.64
/animal-shelter/animals/59239,332,25,9,-66.67
/directoryfarmersmarket,332,10,332,-99.4
/animal-shelter/animals/60540,331,13,2,-50.0
/animal-shelter/animals/61854,331,16,7,-57.14
/animal-shelter/animals/60770,330,17,3,-100.0
/parks/employment/golf-supervisor,330,40,19,-26.32
/animal-shelter/animals/59981,329,20,6,-83.33
/animal-shelter/animals/59557,328,16,5,-60.0
/animal-shelter/animals/60036,328,17,5,-20.0
/animal-shelter/animals/60558,328,28,13,-76.92
/latino/boletin,328,104,90,-48.89
/recreation/programs/10199,327,83,217,-58.99
/animal-shelter/animals/58676,326,14,1,-0.0
/animal-shelter/animals/59597,326,29,12,-50.0
/animal-shelter/animals/59872,326,27,9,-66.67
/parks/parks/park-ridge-east-park,326,62,167,-64.07
/animal-shelter/animals/58802,325,13,2,-0.0
/animal-shelter/animals/61534,325,17,10,-80.0
/animal-shelter/animals/61569,325,22,3,-33.33
/calendar,325,117,202,-54.46
/parks/employment/ballfield-maintenance-laborer-ii,325,53,21,-47.62
/animal-shelter/animals/58551,324,6,5,-0.0
/animal-shelter/animals/60825,324,13,8,-75.0
/parks/parks/bryan-park/sports,324,88,90,-72.22
/animal-shelter/animals/58921,323,45,13,-61.54
/animal-shelter/animals/59117,323,22,6,-0.0
/animal-shelter/animals/59628,323,11,0,-0.0
/animal-shelter/animals/61429,323,27,5,-40.0
/housing/home-rehabilitation,323,142,80,-71.25
/animal-shelter/animals/56612,322,22,6,-50.0
/animal-shelter/animals/58456,322,9,1,-0.0
/animal-shelter/animals/58972,322,21,6,-16.67
/animal-shelter/animals/60167,322,18,7,-85.71
/locations/bloomington-fire-station-5,322,73,215,-84.19
/neighborhoods/historic/prospect-hill,322,101,162,-66.67
/recreation/programs/10313,322,52,103,-50.49
/recreation/programs/10494,322,142,31,-70.97
/about/walking-tours/cottage-grove,321,88,25,-68.0
/animal-shelter/animals?species=Cat&form_build_id=form-wYM0Tl2YF02XiY6oTizAcNm19CQuMANjKMOjpMJk4Y4&form_id=asm_animalsearchform&op=Search,321,23,142,-18.31
/animal-shelter/animals/59642,321,10,0,-0.0
/animal-shelter/animals/60359,321,14,2,-100.0
/animal-shelter/animals/61595,321,28,10,-80.0
/utilities/bids,321,102,135,-65.19
/animal-shelter/animals/58409,320,11,0,-0.0
/animal-shelter/animals/60850,320,18,2,-100.0
/animal-shelter/animals/61037,320,20,2,-100.0
/news/2017/09/27/2890,320,86,262,-72.9
/parks/employment/community-gardening-program-laborer,320,23,62,-3.23
/animal-shelter/animals/58403,319,6,5,-0.0
/animal-shelter/animals/58669,319,7,5,-0.0
/mayor/speeches,319,14,30,-23.33
/animal-shelter/animals/57112,318,23,44,-84.09
/animal-shelter/animals/59221,318,25,11,-81.82
/animal-shelter/animals/60678,318,19,0,-0.0
/departments/hr/jobs/water-quality-coordinator-utilities-department-administration,318,61,56,-89.29
/news/2017/06/28/942,318,100,270,-81.11
/utilities/pretreatment/commercial/fog,318,91,138,-65.22
/animal-shelter/animals/58196,317,16,10,-0.0
/animal-shelter/animals/60310,316,36,4,-50.0
/animal-shelter/animals/61785,316,44,23,-65.22
/city/bond,316,90,89,-50.56
/search/node?keys=jobs,316,11,4,-25.0
/animal-shelter/animals/58804,315,8,1,-100.0
/animal-shelter/animals/58999,315,52,27,-81.48
/animal-shelter/animals/59203,315,15,11,-63.64
/animal-shelter/animals/61295,315,25,25,-52.0
/animal-shelter/animals/58417,314,9,11,-0.0
/animal-shelter/animals/59066,314,18,10,-60.0
/animal-shelter/animals/61099,314,28,9,-44.44
/search/node?keys=parking,314,13,5,-0.0
/animal-shelter/animals/58913,313,19,8,-62.5
/departments/planning-and-transportation/transportation-traffic-services,313,24,29,-58.62
/animal-shelter/animals/58487,312,15,16,-0.0
/animal-shelter/animals/58606,312,15,5,-60.0
/animal-shelter/animals/58626,312,11,6,-0.0
/animal-shelter/animals/61197,312,7,4,-50.0
/animal-shelter/animals/61384,312,72,8,-75.0
/news/2018/02/23/3283,312,48,52,-15.38
/recreation/programs/10451,312,152,227,-85.46
/parks/facilities/frank-southern/partners,311,42,65,-23.08
/animal-shelter/animals/60025,310,19,3,-66.67
/parks/parks/rca-community-park/amenities,310,100,71,-56.34
/web/open-source,310,83,162,-61.73
/animal-shelter/animals/58349,309,15,23,-0.0
/animal-shelter/animals/58354,309,16,1,-0.0
/animal-shelter/animals/61041,309,16,1,-0.0
/innovate,309,45,146,-25.34
/recreation/programs/10168,309,103,191,-54.45
/engineering/projects/east-10th,308,88,120,-68.33
/animal-shelter/animals/58734,307,8,2,-0.0
/animal-shelter/animals/59992,307,29,12,-66.67
/animal-shelter/animals/60663,307,27,1,-0.0
/animal-shelter/animals/61759,306,12,0,-0.0
/housing/emergency-home-repair,306,106,81,-72.84
/animal-shelter/animals/58741,305,26,8,-75.0
/recreation/programs/10139,305,90,193,-46.11
/animal-shelter/animals/58304,304,16,2,-0.0
/animal-shelter/animals/59859,304,15,3,-33.33
/news/2017/11/21/2998,304,52,115,-18.26
/parks/parks/park-ridge-park,304,48,93,-61.29
/accessible,303,44,159,-52.83
/engineering/projects/mitchell,303,133,124,-70.16
/news/2018/05/22/3542,303,219,260,-92.69
/recreation/programs/10184,303,42,131,-31.3
/recreation/programs/10446,303,175,83,-79.52
/transportation/parking/downtown/4th-and-dunn-parking-lot,303,74,74,-64.86
/index.php/parks,302,67,165,-33.33
/animal-shelter/animals/61086,301,23,5,-20.0
/sanitation/trash/thursday-b,301,100,24,-95.83
/animal-shelter/animals/58927,300,33,6,-66.67
/animal-shelter/animals/58993,300,14,1,-100.0
/recreation/camps/sailing,300,15,10,-20.0
/media/media/application/pdf/27936.pdf,299,2,204,-0.49
/animal-shelter/animals/57965,298,18,2,-0.0
/animal-shelter/animals/59202,298,56,12,-41.67
/animal-shelter/animals/59560,298,14,4,-100.0
/animal-shelter/animals/59894,298,31,6,-33.33
/animal-shelter/animals/60077,298,25,5,-100.0
/animal-shelter/animals/60723,298,10,0,-0.0
/animal-shelter/animals/61040,298,15,4,-50.0
/animal-shelter/animals/61274,298,24,14,-85.71
/animal-shelter/animals/59268,297,19,7,-28.57
/business/living-wage/faqs,297,134,33,-57.58
/animal-shelter/animals/59335,296,8,5,-40.0
/neighborhoods/historic/showers,296,126,182,-71.43
/parks/employment/cemetery-grounds-laborer,296,35,10,-10.0
/parks/employment/stationary-groundskeeper,296,31,2,-0.0
/recreation/programs/10331,296,31,129,-15.5
/accessability,295,126,107,-62.62
/animal-shelter/animals/58323,295,12,1,-0.0
/animal-shelter/animals/58607,295,10,2,-50.0
/historic-bloomington/info,294,60,35,-42.86
/police/crime-prevention,294,42,40,-60.0
/animal-shelter/animals/56948,293,37,1,-0.0
/animal-shelter/animals/59408,293,7,1,-100.0
/recreation/programs/10432,293,73,199,-74.87
/animal-shelter/animals/59767,292,19,1,-100.0
/about/trees/urban-forestry-plan,291,124,118,-57.63
/animal-shelter/animals/59060,291,80,31,-74.19
/animal-shelter/animals/58255,290,8,3,-0.0
/animal-shelter/animals/61114,290,10,1,-100.0
/animal-shelter/animals/60249,289,9,4,-25.0
/boards/public-safety/meetings/2018,289,155,105,-61.9
/farmers-market/vendors/hoosier-honey,289,115,212,-89.15
/neighborhoods/grants/small-and-simple,289,99,131,-77.1
/news/2018/03/02/3350,289,41,141,-50.35
/animal-shelter/animals/58356,288,14,2,-0.0
/animal-shelter/animals/61588,288,15,3,-0.0
/animal-shelter/animals/61809,288,31,1,-0.0
/departments/hr/jobs/temporary-part-time-security-monitor-specialist-public-works-facilities,288,19,2,-0.0
/news/2018/01/04/3057,288,60,112,-24.11
/animal-shelter/animals/61662,287,24,8,-75.0
/neighborhoods/grants/improvement,287,105,73,-53.42
/recreation/sports/other,287,22,29,-13.79
/parks/pools/rentals,286,76,102,-53.92
/animal-shelter/animals/58748,285,25,8,-50.0
/about/walking-tours/courthouse-district,284,77,42,-42.86
/animal-shelter/animals/57562,284,10,3,-66.67
/animal-shelter/animals/59650,284,23,4,-25.0
/animal-shelter/animals/60064,284,33,27,-70.37
/index.php/parks/trails/b-line-trail,284,191,211,-72.04
/animal-shelter/animals/60554,283,46,25,-60.0
/animal-shelter/animals/61698,283,14,7,-57.14
/animal-shelter/animals/60901,282,43,33,-78.79
/animal-shelter/animals/61758,282,38,5,-60.0
/animal-shelter/animals/58682,280,5,0,-0.0
/animal-shelter/animals/59984,280,25,9,-88.89
/animal-shelter/animals/60861,280,20,0,-0.0
/animal-shelter/animals/59538,279,20,5,-60.0
/departments/controller/vendors,279,100,77,-59.74
/animal-shelter/animals/58373,278,13,3,-0.0
/animal-shelter/animals/58584,278,14,3,-0.0
/boards/utilities-service/meetings/2018,278,177,11,-54.55
/council/legislation/Ordinance/2018,278,32,5,-40.0
/animal-shelter/animals/58450,277,10,9,-22.22
/animal-shelter/animals/58731,277,7,0,-0.0
/animal-shelter/animals/59433,277,11,3,-100.0
/animal-shelter/animals/60844,277,18,19,-63.16
/news/2018/3,277,27,4,-50.0
/planning/gpp,276,44,29,-44.83
/neighborhoods/historic/greater-prospect-hill,275,95,95,-71.58
/animal-shelter/animals/58694,274,16,2,-0.0
/animal-shelter/animals/60017,274,19,5,-60.0
/animal-shelter/animals/60564,274,6,2,-50.0
/farmers-market/soup-tasting,274,149,163,-84.66
/departments/hr/jobs/maintenance-coordinator-dillman-wastewater-treatment-plant,273,50,10,-30.0
/engineering/projects/tapp,273,22,1,-100.0
/animal-shelter/animals/59819,272,30,9,-44.44
/animal-shelter/animals/59849,272,7,0,-0.0
/animal-shelter/animals/60561,272,5,3,-33.33
/animal-shelter/animals/60617,272,19,2,-50.0
/bikeshareproject,272,34,91,-0.0
/news/2018/7,272,25,2,-100.0
/parks/employment/mowing-grounds-laborer-ii-tractor-operator,272,38,2,-100.0
/parks/employment/natural-resources-education-specialist-1,272,126,29,-68.97
/animal-shelter/animals/61198,271,39,15,-40.0
/boards/status-of-children/swagger,271,142,129,-68.99
/business/districts/tif,271,99,126,-58.73
/locations/crestmont-park,271,39,102,-53.92
/parks/employment/vegetation-specialist,271,35,69,-23.19
/police/false-alarm,271,56,88,-60.23
/animal-shelter/animals/59041,270,14,4,-50.0
/animal-shelter/animals/59315,270,8,2,-100.0
/boards/housing-authority,270,54,105,-61.9
/animal-shelter/animals/57453,269,12,6,-16.67
/locations/lower-cascades/ballfields,269,112,88,-80.68
/news/2017/11/20/2996,269,70,129,-21.71
/parks/facilities/banneker-community-center/advisory-council,269,80,93,-63.44
/index.php/police,268,62,134,-41.04
/sanitation/trash/tuesday-b,268,94,19,-84.21
/animal-shelter/animals/59730,267,16,2,-50.0
/animal-shelter/animals/60190,267,12,7,-42.86
/animal-shelter/animals/61850,267,39,7,-71.43
/departments/hr/jobs/superintendent-wastewater-treatment-plant-available-1118-utilities-blucher,267,39,10,-0.0
/animal-shelter/animals/58907,266,18,2,-100.0
/animal-shelter/animals/59545,266,18,4,-25.0
/departments/hr/jobs/laborer-public-works-street-department,266,67,17,-70.59
/parks/parks/highland-village-park,266,74,84,-60.71
/animal-shelter/animals/60404,265,17,0,-0.0
/animal-shelter/animals/59587,264,26,16,-68.75
/animal-shelter/animals/60488,264,17,9,-77.78
/animal-shelter/animals/60796,264,9,3,-100.0
/recreation/programs/10238,264,38,86,-16.28
/animal-shelter/animals/59098,263,20,2,-50.0
/animal-shelter/animals/60999,263,32,1,-0.0
/animal-shelter/animals/55456,262,28,3,-33.33
/animal-shelter/animals/58353,262,26,8,-62.5
/animal-shelter/animals/58749,262,18,4,-50.0
/animal-shelter/animals/61800,262,11,2,-0.0
/parks/employment/urban-forestry-staff-assistant,262,23,4,-0.0
/animal-shelter/animals/58803,261,13,1,-100.0
/animal-shelter/animals/59986,261,24,5,-80.0
/animal-shelter/animals/60203,261,10,3,-33.33
/animal-shelter/animals/60854,261,22,14,-92.86
/news/2018/05/30/3551,261,115,161,-87.58
/recreation/programs/10156,261,69,192,-52.08
/about/walking-tours/african-american-history,260,109,89,-52.81
/animal-shelter/animals/60401,260,25,7,-85.71
/animal-shelter/animals/61862,260,20,7,-42.86
/neighborhoods/historic/courthouse-square,260,84,151,-62.25
/winter,260,20,92,-0.0
/animal-shelter/animals/58908,259,13,5,-40.0
/animal-shelter/animals/59559,259,10,1,-0.0
/departments/council-office,258,59,43,-72.09
/locations/office-mayor,258,91,110,-52.73
/animal-shelter/animals/60604,257,36,2,-50.0
/animal-shelter/animals/61309,257,18,6,-83.33
/animal-shelter/animals/61452,257,44,28,-60.71
/animal-shelter/animals/59808,256,6,1,-0.0
/animal-shelter/animals/61783,256,10,1,-0.0
/maps/,256,81,153,-61.44
/animal-shelter/animals/58910,255,21,0,-0.0
/animal-shelter/animals/59858,255,21,18,-77.78
/animal-shelter/animals/61287,255,15,0,-0.0
/animal-shelter/animals/61607,255,27,26,-69.23
/directorytlrc,255,47,189,-48.68
/recreation/camps/ready,255,50,24,-58.33
/animal-shelter/animals/59706,254,12,10,-70.0
/animal-shelter/animals/61323,254,22,8,-75.0
/news/2018/08/10/3640,254,242,201,-92.54
/sustainability/,254,59,9,-0.0
/animal-shelter/animals/59893,253,28,5,-80.0
/animal-shelter/animals/60964,253,47,18,-72.22
/animal-shelter/animals/61371,253,13,2,-50.0
/animal-shelter/animals/60966,252,23,1,-100.0
/animal-shelter/animals/61680,252,24,12,-83.33
/engineering/projects/allen,252,118,128,-84.38
/parks/forms,252,49,6,-66.67
/recreation/programs/10250,252,78,127,-37.8
/animal-shelter/animals/60009,251,15,2,-50.0
/animal-shelter/animals/61267,251,11,2,-50.0
/business/start/physical,251,49,13,-46.15
/animal-shelter/animals/58983,250,21,10,-80.0
/animal-shelter/animals/58997,250,31,5,-80.0
/animal-shelter/animals/61216,250,21,7,-71.43
/council/legislation/Ordinance/2017/17-22,250,156,169,-53.85
/deertaskforce,250,53,90,-0.0
/health/child-care,250,75,83,-69.88
/historic-bloomington/demolition-delay,250,150,71,-46.48
/animal-shelter/animals/58146,249,9,15,-20.0
/animal-shelter/animals/58737,249,33,5,-20.0
/animal-shelter/animals/60379,249,47,11,-63.64
/animal-shelter/animals/61075,249,29,10,-30.0
/parks/employment/griffy-boathouse-supervisor,249,51,20,-0.0
/about/walking-tours/showers-factory,248,83,82,-64.63
/animal-shelter/animals/58288,248,17,2,-0.0
/animal-shelter/animals/59760,248,17,11,-45.45
/news/2017/12/04/3009,248,58,171,-66.08
/recreation/camps/golf,248,27,7,-14.29
/recreation/programs/10332,248,70,106,-53.77
/animal-shelter/animals/60259,247,15,3,-100.0
/business/incentives,247,55,69,-21.74
/parks/community-events/drool-in-pool,247,138,75,-80.0
/recreation/programs/10205,247,74,163,-43.56
/animal-shelter/animals/58277,246,13,11,-0.0
/animal-shelter/animals/60089,246,42,11,-54.55
/animal-shelter/animals/61244,246,11,3,-100.0
/business/start/physical/utilities,246,29,33,-36.36
/animal-shelter/animals/57795,245,16,4,-50.0
/animal-shelter/animals/58072,245,54,19,-57.89
/animal-shelter/animals/58922,245,17,0,-0.0
/animal-shelter/animals/60142,245,17,2,-0.0
/boards/digital-underground,245,75,63,-38.1
/neighborhoods/historic/matlock-heights,245,139,111,-70.27
/animal-shelter/animals/58169,244,12,0,-0.0
/animal-shelter/animals/58875,244,16,3,-33.33
/boards/housing-quality-appeals,244,82,71,-56.34
/recreation/fitness/exercise,244,45,63,-23.81
/transportation/parking/special-events,244,53,28,-46.43
/about/accolades-and-amenities,243,101,54,-51.85
/animal-shelter/animals/59055,243,24,4,-0.0
/animal-shelter/animals/59900,243,6,2,-100.0
/animal-shelter/animals/60032,243,23,6,-66.67
/animal-shelter/animals/61575,243,32,18,-66.67
/engineering/projects/b-line,243,66,36,-50.0
/animal-shelter/animals/58333,242,9,6,-16.67
/animal-shelter/animals/61542,242,22,1,-0.0
/animal-shelter/animals/59086,241,26,2,-0.0
/animal-shelter/animals/59392,241,28,12,-58.33
/animal-shelter/animals/59509,241,9,2,-0.0
/animal-shelter/animals/59721,241,24,0,-0.0
/animal-shelter/animals/61229,241,17,2,-50.0
/boards/status-of-women/womens-history-month-luncheon,241,20,84,-2.38
/departments/hr/jobs/school-crossing-guard-2-temporary-part-time-positions-1-substitute-position,241,26,10,-40.0
/farmers-market/soups,241,68,111,-61.26
/animal-shelter/animals/59468,239,41,1,-0.0
/animal-shelter/animals/60258,239,14,1,-100.0
/animal-shelter/animals/61567,239,20,15,-80.0
/animal-shelter/animals/61797,239,20,1,-100.0
/news/2018/03/27/3415,239,171,115,-73.91
/recreation/programs/10328,239,81,129,-47.29
/recreation/sports/volleyball/leagues,239,19,41,-4.88
/search/node,239,47,107,-28.97
/water-and-sewage-utility,239,18,1,-100.0
/animal-shelter/animals/58107,238,16,4,-0.0
/animal-shelter/animals/58172,238,14,1,-0.0
/animal-shelter/animals/59666,238,11,3,-33.33
/animal-shelter/animals/60747,238,29,15,-80.0
/mpo/ada-transition-plan,238,120,108,-49.07
/transportation/parking/downtown/6th-and-lincoln-parking-lot,238,106,36,-66.67
/animal-shelter/animals/58732,237,12,1,-0.0
/animal-shelter/animals/59121,237,15,5,-100.0
/animal-shelter/animals/61791,237,11,0,-0.0
/animal-shelter/animals/59976,236,12,0,-0.0
/news/2017/05/22/762,236,87,152,-53.29
/animal-shelter/animals/59761,235,27,11,-63.64
/animal-shelter/animals/60449,235,15,10,-70.0
/boards/plan/meetings/2017,235,151,36,-33.33
/animal-shelter/animals/58656,234,13,4,-0.0
/animal-shelter/animals/61500,234,25,7,-71.43
/departments/hr/eeo-policy,234,47,49,-53.06
/animal-shelter/animals/59414,233,11,1,-0.0
/animal-shelter/animals/59452,233,20,4,-100.0
/animal-shelter/animals/59929,233,17,0,-0.0
/mlk-legacy-award,233,65,98,-41.84
/news/2018/03/06/3384,233,19,104,-30.77
/recreation/programs/10269,233,60,162,-61.11
/recreation/programs/10622,233,173,53,-86.79
/accessible/training,232,154,128,-62.5
/animal-shelter/animals/58301,232,10,5,-0.0
/animal-shelter/animals/60039,232,28,6,-33.33
/animal-shelter/animals/61789,232,7,1,-0.0
/departments/hr/jobs/assistant-superintendent-2-positions-utilities-department-td,232,48,13,-92.31
/departments/hr/jobs/laborer-3-positions-utilities-department-td,232,85,17,-58.82
/news/2017/07/10/976,232,123,163,-69.33
/recreation/programs/10617,231,170,157,-76.43
/animal-shelter/animals/57825,230,10,5,-20.0
/locations/fleet-maintenance,230,42,89,-64.04
/animal-shelter/animals/58753,229,53,5,-60.0
/parks/employment/painter-laborer-ii,229,20,15,-6.67
/departments/hr/jobs/temporary-part-time-patrol-officer-specialist-6-positions-police-department,228,52,20,-80.0
/directoryanimal-shelter,228,68,186,-66.13
/index.php/recreation/programs/10571,228,185,119,-78.99
/recreation/programs/10376,228,28,8,-0.0
/utilities/waterwise,228,139,93,-55.91
/animal-shelter/animals/59057,227,21,8,-25.0
/animal-shelter/animals/60389,227,19,4,-25.0
/animal-shelter/animals/60474,227,30,5,-60.0
/animal-shelter/animals/61344,227,21,5,-60.0
/animal-shelter/animals/61398,227,29,1,-0.0
/index.php/transportation/parking/neighborhood-parking,227,207,113,-80.53
/miscellaneous,227,11,0,-0.0
/news/2018/02/21/3277,227,15,54,-3.7
/recreation,227,13,15,-26.67
/animal-shelter/animals/59654,226,35,4,-75.0
/animal-shelter/animals/61271,226,23,3,-100.0
/animal-shelter/animals/61608,226,39,3,-66.67
/news/2017,226,58,22,-50.0
/parks/employment/rink-attendant-frank-southern-ice-arena,226,111,35,-91.43
/recreation/programs/10256,226,70,149,-63.76
/animal-shelter/animals/58828,225,8,0,-0.0
/animal-shelter/animals/59897,225,12,4,-50.0
/animal-shelter/animals/60008,225,37,17,-47.06
/boards/plan/meetings,225,19,106,-3.77
/neighborhoods/preservation,225,114,40,-55.0
/news/2018/01/22/3085,225,70,147,-60.54
/animal-shelter/animals/59188,224,21,9,-77.78
/animal-shelter/animals/60764,224,17,5,-80.0
/business/start/food,224,65,38,-65.79
/recreation/programs/10301,224,57,119,-33.61
/council/committees,223,58,18,-11.11
/locations/policy,223,169,75,-61.33
/planning/transportation-and-traffic-projects,223,36,50,-40.0
/animal-shelter/animals/61594,222,34,8,-75.0
/about/walking-tours/vinegar-hill,221,125,64,-67.19
/animal-shelter/animals/60010,221,21,0,-0.0
/animal-shelter/animals/60288,221,10,2,-50.0
/animal-shelter/animals/60763,221,16,1,-0.0
/news/2018/03/01/3342,221,74,100,-58.0
/animal-shelter/animals/58980,220,11,1,-0.0
/animal-shelter/animals/59723,220,26,7,-85.71
/animal-shelter/animals/60101,220,43,9,-66.67
/animal-shelter/animals/60815,220,49,9,-88.89
/animal-shelter/animals/61803,220,13,3,-66.67
/recreation/programs/10370,220,132,78,-26.92
/animal-shelter/animals/59649,219,21,10,-60.0
/departments/hr/jobs/police-dispatch,219,92,120,-42.5
/transportation/parking/downtown/4th-and-washington-parking-lot,219,67,23,-78.26
/animal-shelter/animals/59507,218,23,14,-78.57
/boards/deertaskforce/griffy-lake,218,210,63,-74.6
/index.php/parks/parks/leonard-springs-nature-park,218,141,176,-79.55
/parks/employment/laborer-ii-construction-and-grounds,218,24,4,-0.0
/parks/parks/ambassador,218,55,77,-50.65
/animal-shelter/animals/57224,217,19,0,-0.0
/animal-shelter/animals/58850,217,27,8,-37.5
/animal-shelter/animals/59270,217,33,21,-71.43
/animal-shelter/animals/59905,217,27,6,-33.33
/animal-shelter/animals/60559,217,14,5,-40.0
/animal-shelter/animals/58537,216,8,3,-0.0
/animal-shelter/animals/58554,216,10,5,-0.0
/animal-shelter/animals/61346,216,21,6,-33.33
/business/academy,216,93,22,-54.55
/index.php/parks/facilities/cascades-golf-course,216,138,152,-57.89
/news/2018/2,216,21,2,-0.0
/parks/trails/adopt-a-trail,216,65,80,-37.5
/recreation/programs/10135,216,94,165,-67.88
/recreation/programs/10348,216,113,94,-73.4
/animal-shelter/animals/60176,215,14,2,-100.0
/animal-shelter/animals/61438,215,27,8,-62.5
/animal-shelter/animals/58326,214,12,1,-0.0
/animal-shelter/animals/59144,214,13,3,-66.67
/animal-shelter/animals/60280,214,14,6,-83.33
/animal-shelter/animals/59751,213,20,8,-25.0
/animal-shelter/animals/61305,213,54,28,-57.14
/boards/status-of-black-males/leader-of-tomorrow,213,67,92,-58.7
/departments/hr/jobs/assistant-director-planning-and-transportation-department,213,69,14,-64.29
/index.php/animal-shelter,213,47,115,-23.48
/recreation/fitness/first-aid,213,60,56,-32.14
/animal-shelter/animals/59193,212,19,3,-33.33
/animal-shelter/animals/60817,212,36,27,-74.07
/boards/cdbg-funding,212,76,22,-77.27
/node/3656,212,207,150,-82.67
/recreation/programs/10337,212,54,116,-69.83
/recreation/recreation/free-play,212,55,25,-84.0
/animal-shelter/animals/60180,211,39,28,-53.57
/animal-shelter/animals/60506,211,10,19,-57.89
/boards/mpo-citizens,211,53,52,-57.69
/farmers-market/vendors/twilight-dairy-llc,211,127,154,-85.71
/public-safety/safe-civil/initiative,211,146,72,-63.89
/animal-shelter/animals/58666,210,31,2,-0.0
/animal-shelter/animals/58914,210,15,1,-0.0
/animal-shelter/animals/59042,210,30,2,-100.0
/animal-shelter/animals/59223,210,52,15,-40.0
/animal-shelter/animals/59983,210,29,7,-85.71
/locations/blucher-poole-wastewater-treatment-plant,210,66,58,-63.79
/locations/viewLocation.php?location_id=11,210,26,182,-64.84
/recreation/programs/10345,210,76,50,-40.0
/recreation/programs/10418,210,27,60,-88.33
/recreation/programs/9536,210,120,134,-64.93
/animal-shelter/animals/58480,209,17,9,-11.11
/animal-shelter/animals/58780,209,11,3,-33.33
/animal-shelter/animals/59711,209,20,6,-66.67
/animal-shelter/animals/61150,209,34,15,-73.33
/animal-shelter/animals/61169,209,47,7,-85.71
/neighborhoods/grants/clean-ups,209,60,93,-47.31
/animal-shelter/animals/59076,208,23,2,-50.0
